City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
288,calingasta,-31.3308,-69.4078,306.92,23,2,7.11,AR,1706989389
289,kruisfontein,-34.0033,24.7314,294.75,89,100,2.65,ZA,1706989389
290,bardai,11.65,7.2333,292.95,16,3,5.25,NG,1706989389
291,troitskoye,52.9821,84.6757,264.23,92,100,3.21,RU,1706989390
292,san lawrenz,36.0553,14.204,283.82,61,0,4.73,MT,1706989390
293,ola,59.5833,151.2833,253.4,79,99,4.64,RU,1706989212
294,lagos,6.5833,3.75,302.33,83,31,1.91,NG,1706989390
295,tazovsky,67.4667,78.7,258.92,93,100,2.94,RU,1706989390
296,trujillo,-8.116,-79.03,297.13,78,100,4.12,PE,1706989390
297,howard springs,-12.497,131.047,301.1,94,100,3.98,AU,1706989391
298,sant'antioco,39.0664,8.4522,284.84,83,0,3.93,IT,1706989391
299,rio de janeiro,-22.9028,-43.2075,303.12,80,75,5.66,BR,1706989111
300,kapa'a,22.0752,-159.319,295.33,56,100,11.83,US,1706989391
301,tolanaro,-25.0319,46.9987,297.19,88,20,7.2,MG,1706989391
302,east london,-33.0153,27.9116,298.13,85,69,5.28,ZA,1706989391
303,cancun,21.1743,-86.8466,301.11,57,40,7.72,MX,1706988742
304,banda aceh,5.5577,95.3222,298.84,82,97,1.92,ID,1706989391
305,gulfport,30.3674,-89.0928,290.18,74,100,8.23,US,1706989163
306,inirida,3.8653,-67.9239,302.17,80,100,0.49,CO,1706989392
307,la sarre,48.8002,-79.1996,271.97,85,76,3.07,CA,1706989392
308,cannonvale,-20.2833,148.7,300.81,72,100,4.24,AU,1706989392
309,prineville,44.2999,-120.8345,279.99,61,0,2.06,US,1706989392
310,feodosiya,45.0333,35.3833,279.38,73,100,7.64,UA,1706989193
311,utete,-7.986,38.758,297.19,98,98,1.75,TZ,1706989392
312,papao,-17.75,-149.55,302.97,78,45,4.76,PF,1706989392
313,hanzhong,33.0728,107.0303,273.84,94,100,0.89,CN,1706989392
314,aykhal,66.0,111.5,246.52,65,99,1.32,RU,1706989393
315,salinas,36.6777,-121.6555,286.94,75,75,6.69,US,1706989393
316,toamasina,-18.1667,49.3833,297.15,94,75,2.06,MG,1706989393
317,buriti bravo,-5.8372,-43.8336,302.5,64,84,0.26,BR,1706989393
318,almeirim,-1.5233,-52.5817,304.74,55,100,2.82,BR,1706989393
319,chipinge,-20.1883,32.6236,288.84,90,1,1.28,ZW,1706989393
320,malango,-2.9627,119.9001,293.81,97,99,0.49,ID,1706989394
321,mar del plata,-38.0023,-57.5575,297.16,57,3,9.77,AR,1706989154
322,udachny,66.4167,112.4,241.87,87,63,1.32,RU,1706989394
323,new norfolk,-42.7826,147.0587,288.87,96,100,0.68,AU,1706989394
324,langweid,48.4833,10.85,280.79,87,0,1.03,DE,1706989394
325,bridgewater,44.3835,-64.5155,269.97,92,100,11.83,CA,1706989394
326,natal,-5.795,-35.2094,303.51,62,20,7.2,BR,1706989183
327,tucuma,-0.1833,-50.05,303.0,66,34,3.65,BR,1706989394
328,molde,62.7375,7.1591,276.06,52,75,19.03,NO,1706989395
329,imphal,24.8167,93.95,279.44,76,0,0.86,IN,1706989395
330,mili,6.0815,171.735,300.81,79,97,10.46,MH,1706989395
331,cururupu,-1.8283,-44.8683,301.82,67,100,2.68,BR,1706989395
332,zgurovka,50.5028,31.7849,277.53,91,100,7.97,UA,1706989395
333,zhangye,38.9342,100.4517,265.49,70,6,1.31,CN,1706989395
334,murzuq,25.9155,13.9184,284.03,31,0,2.73,LY,1706989395
335,urangan,-25.3,152.9,296.59,93,25,2.68,AU,1706989396
336,kavieng,-2.5744,150.7967,301.31,79,90,2.06,PG,1706989396
337,walvis bay,-22.9575,14.5053,294.68,83,100,0.0,NA,1706989396
